School_code,AgeID,School_name,Town_suburb,Postcode,Phone,School_Email,Website,Fax,latest_year_enrolment_FTE,Indigenous_pct,LBOTE_pct,ICSEA_value,Level_of_schooling,Selective_school,Opportunity_class,School_specialty_type,School_subtype,Support_classes,School_gender,Latitude,Longitude
1001,44402,Abbotsford Public School,Abbotsford ,2046,9713 6220,abbotsford-p.school@det.nsw.edu.au,https://abbotsford-p.schools.nsw.gov.au,9712 1825,474,2,41,1111,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-33.852728,151.131206
1002,49333,Aberdeen Public School,Aberdeen,2336,6543 7271,aberdeen-p.school@det.nsw.edu.au,https://aberdeen-p.schools.nsw.gov.au,6543 7712,166,22,np,895,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-32.166098,150.888095
1003,49299,Abermain Public School,Abermain ,2326,4930 4210,abermain-p.school@det.nsw.edu.au,https://abermain-p.schools.nsw.gov.au,4930 4319,265,26,np,893,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-32.80892,151.426499
1007,50425,Adaminaby Public School,ADAMINABY,2629,6454 2265,adaminaby-p.school@det.nsw.edu.au,https://adaminaby-p.schools.nsw.gov.au,6454 2552,12,0,np,976,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-35.993292,148.776721
1008,49043,Adamstown Public School,Adamstown ,2289,4957 1114,adamstown-p.school@det.nsw.edu.au,https://adamstown-p.schools.nsw.gov.au,4956 2446,361,8,14,1060,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-32.932213,151.730971
1009,50667,Adelong Public School,ADELONG,2729,6946 2053,adelong-p.school@det.nsw.edu.au,https://adelong-p.schools.nsw.gov.au,6946 2199,47,np,np,962,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-35.312333,148.062802
8493,46504,Airds High School,Campbelltown,2560,4625 5811,airds-h.school@det.nsw.edu.au,https://airds-h.schools.nsw.gov.au,4626 4374,457.6,26,35,868,Secondary School,Not Selective,N,Comprehensive,Year 7 to Year 12,,Coed,-34.086883,150.827109
5748,56152,Ajuga School,Glenfield,2167,9827 6100,ajuga-s.school@det.nsw.edu.au,https://ajuga-s.schools.nsw.gov.au,9829 1768,57,30,np,882,Schools for Specific Purposes,Not Selective,N,Comprehensive,Emotional disturbance,,Coed,-33.969521,150.878033
4177,49776,Albert Park Public School,East Lismore ,2480,6621 3259,albertpk-p.school@det.nsw.edu.au,https://albertpk-p.schools.nsw.gov.au,6622 0560,92,29,9,941,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-28.821563,153.272498
8586,54950,Albion Park High School,Albion Park ,2527,4257 1744,albionpk-h.school@det.nsw.edu.au,https://albionpk-h.schools.nsw.gov.au,4257 1826,983,9,6,972,Secondary School,Not Selective,N,Comprehensive,Year 7 to Year 12,,Coed,-34.576702,150.773359
1015,50020,Albion Park Public School,Albion Park ,2527,4256 1244,albionpk-p.school@det.nsw.edu.au,https://albionpk-p.schools.nsw.gov.au,4256 4160,467,9,7,968,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-34.570257,150.77262
4121,50021,Albion Park Rail Public School,Albion Park Rail,2527,4256 1287,albionpkr-p.school@det.nsw.edu.au,https://albionpkr-p.schools.nsw.gov.au,4257 1912,350,24,10,897,Primary School,Not Selective,N,Comprehensive,Kinder to Year 6,,Coed,-34.56755,150.798668
8101,50438,Albury High School,Albury ,2640,6021 3488,albury-h.school@det.nsw.edu.au,https://albury-h.schools.nsw.gov.au,6041 3782,964.8,6,8,1012,Secondary School,Not Selective,N,Comprehensive,Year 7 to Year 12,,Coed,-36.072846,146.915442
